dataset,krao,selection,proj_sel,proj_sel_qtt,bang,total
0, 0.083706, 0.000011, 0.000003, 0.000001, 0.000000, 0.083721
0, 0.053627, 0.000048, 0.000056, 0.000038, 0.000000, 0.053769
0, 0.103527, 0.000050, 0.000050, 0.000037, 0.000001, 0.103665
0, 0.183907, 0.000031, 0.000040, 0.000028, 0.000000, 0.184006
0, 1.628047, 0.021848, 0.011132, 0.003313, 0.011559, 1.675899
0, 2.772360, 0.033825, 0.014821, 0.007232, 0.011049, 2.839287
0, 2.858995, 0.027148, 0.011996, 0.003035, 0.009165, 2.910339
0, 0.045533, 0.000021, 0.000001, 0.000002, 0.000001, 0.045558
0, 0.066869, 0.000023, 0.000001, 0.000002, 0.000007, 0.066902
0, 0.039997, 0.000019, 0.000001, 0.000005, 0.000001, 0.040023
0, 0.039996, 0.000019, 0.000001, 0.000006, 0.000001, 0.040023
0, 0.039991, 0.000017, 0.000001, 0.000005, 0.000000, 0.040014
0, 0.031040, 0.000012, 0.000001, 0.000011, 0.000000, 0.031064
0, 0.026860, 0.000016, 0.000002, 0.000004, 0.000003, 0.026885
0, 0.000007, 0.000013, 0.000001, 0.000001, 0.000001, 0.000023
