dataset,krao,selection,proj_sel,proj_sel_qtt,bang,total
4, 0.233321, 0.313921, 0.069048, 0.114110, 0.022768, 0.753168
4, 0.145795, 0.334611, 0.074790, 0.115708, 0.022769, 0.693673
4, 0.096672, 0.430206, 0.072029, 0.110186, 0.022092, 0.731185
4, 0.214526, 0.358503, 0.113167, 0.122892, 0.023221, 0.832309
4, 0.110356, 0.336487, 0.086907, 0.111401, 0.022076, 0.667227
4, 0.125803, 0.332212, 0.072596, 0.110785, 0.022076, 0.663472
4, 0.096981, 0.334701, 0.074001, 0.108060, 0.022081, 0.635824
4, 0.087068, 0.337114, 0.072636, 0.107594, 0.022095, 0.626507
4, 0.141533, 0.330580, 0.071442, 0.112950, 0.022103, 0.678608
4, 0.117195, 0.330554, 0.086834, 0.107484, 0.022093, 0.664160
4, 0.092521, 0.434408, 0.080929, 0.111611, 0.022089, 0.741558
4, 0.106578, 0.339204, 0.082532, 0.109016, 0.022082, 0.659412
4, 0.105115, 0.336376, 0.072563, 0.112198, 0.022075, 0.648327
4, 0.096787, 0.340137, 0.072998, 0.112896, 0.022093, 0.644911
4, 0.090956, 0.338853, 0.072862, 0.111609, 0.022107, 0.636387
4, 0.089619, 0.428009, 0.086184, 0.110747, 0.022350, 0.736909
4, 0.092569, 0.335616, 0.084129, 0.110435, 0.022068, 0.644817
4, 0.084956, 0.430784, 0.069921, 0.099999, 0.021485, 0.707145
4, 0.108726, 0.339192, 0.073221, 0.112929, 0.022070, 0.656138
4, 0.095212, 0.326240, 0.073151, 0.111228, 0.022071, 0.627902
4, 0.260648, 0.330502, 0.073175, 0.109714, 0.022094, 0.796133
4, 0.184645, 0.310194, 0.067598, 0.100991, 0.022066, 0.685494
4, 0.190215, 0.328910, 0.073330, 0.111775, 0.022127, 0.726357
4, 0.177819, 0.336175, 0.072395, 0.111692, 0.022177, 0.720258
4, 0.082316, 0.429330, 0.082324, 0.104513, 0.022179, 0.720662
4, 0.071103, 0.423062, 0.070436, 0.098213, 0.021457, 0.684271
4, 0.083110, 0.341214, 0.087720, 0.113442, 0.022890, 0.648376
4, 0.115581, 0.324289, 0.075248, 0.115965, 0.022924, 0.654007
4, 0.090619, 0.334258, 0.075053, 0.116315, 0.022789, 0.639034
4, 0.109938, 0.320067, 0.074332, 0.116211, 0.022793, 0.643341
4, 0.132373, 0.323229, 0.075254, 0.114835, 0.022800, 0.668491
4, 0.087347, 0.439174, 0.067101, 0.105704, 0.021550, 0.720876
4, 0.080647, 0.441137, 0.081827, 0.111216, 0.022080, 0.736907
4, 0.115554, 0.339592, 0.086126, 0.114361, 0.022788, 0.678421
4, 0.087768, 0.431461, 0.066124, 0.100965, 0.021472, 0.707790
4, 0.102890, 0.398443, 0.082711, 0.106925, 0.022102, 0.713071
4, 0.073923, 0.341033, 0.077020, 0.106297, 0.022078, 0.620351
4, 0.116531, 0.335849, 0.080264, 0.104869, 0.022080, 0.659593
4, 0.096967, 0.336488, 0.074431, 0.112208, 0.022766, 0.642860
4, 0.088202, 0.432253, 0.074253, 0.114797, 0.022783, 0.732288
4, 0.167647, 0.332577, 0.074495, 0.115392, 0.022797, 0.712908
4, 0.115958, 0.422174, 0.074296, 0.114805, 0.022770, 0.750003
4, 0.084868, 0.436377, 0.075447, 0.116728, 0.023137, 0.736557
4, 0.187593, 0.409030, 0.072127, 0.112791, 0.022113, 0.803654
4, 0.096666, 0.336766, 0.074489, 0.115350, 0.022861, 0.646132
4, 0.096697, 0.335653, 0.073805, 0.114681, 0.022773, 0.643609
4, 0.111705, 0.442866, 0.074700, 0.114611, 0.022800, 0.766682
4, 0.112081, 0.356531, 0.067367, 0.102814, 0.022100, 0.660893
4, 0.093192, 0.430350, 0.099947, 0.179006, 0.041058, 0.843553
4, 0.091753, 0.443530, 0.068018, 0.107232, 0.022116, 0.732649
4, 0.441642, 0.324694, 0.115115, 0.110529, 0.023400, 1.015380
4, 0.157829, 0.318433, 0.080121, 0.128850, 0.027630, 0.712863
4, 0.179706, 0.325747, 0.081776, 0.136041, 0.027606, 0.750876
4, 0.129884, 0.244189, 0.065045, 0.098863, 0.021099, 0.559080
4, 0.136104, 0.345160, 0.085291, 0.125784, 0.028139, 0.720478
4, 0.109816, 0.315180, 0.072699, 0.101102, 0.022119, 0.620916
4, 0.091385, 0.288544, 0.073856, 0.104217, 0.022784, 0.580786
4, 0.074299, 0.296456, 0.075060, 0.101265, 0.022091, 0.569171
4, 0.070734, 0.297605, 0.074883, 0.099560, 0.022091, 0.564873
4, 0.071985, 0.297682, 0.074046, 0.103988, 0.022130, 0.569831
4, 0.081242, 0.297405, 0.076254, 0.103220, 0.022803, 0.580924
4, 0.061006, 0.297616, 0.081739, 0.107135, 0.022808, 0.570304
4, 0.064480, 0.368447, 0.069870, 0.100135, 0.022138, 0.625070
4, 0.073645, 0.297501, 0.075863, 0.099825, 0.022114, 0.568948
4, 0.054456, 0.303812, 0.078829, 0.105832, 0.022891, 0.565820
4, 0.057693, 0.297675, 0.078836, 0.102189, 0.022781, 0.559174
4, 0.052141, 0.303559, 0.082226, 0.112064, 0.022747, 0.572737
4, 0.084811, 0.397378, 0.073279, 0.099742, 0.022102, 0.677312
4, 0.059513, 0.297720, 0.082882, 0.102169, 0.022052, 0.564336
4, 0.057526, 0.366412, 0.071677, 0.097394, 0.021479, 0.614488
4, 0.066911, 0.297470, 0.074798, 0.098454, 0.021417, 0.559050
4, 0.064041, 0.297859, 0.075361, 0.097116, 0.021436, 0.555813
4, 0.060820, 0.297764, 0.078471, 0.102178, 0.022129, 0.561362
4, 0.063139, 0.288713, 0.078039, 0.101250, 0.022075, 0.553216
4, 0.073086, 0.388934, 0.073856, 0.102530, 0.022104, 0.660510
4, 0.059522, 0.406434, 0.071369, 0.100394, 0.022126, 0.659845
4, 0.093670, 0.294391, 0.073005, 0.100891, 0.022080, 0.584037
4, 0.052020, 0.297680, 0.075672, 0.098591, 0.021443, 0.545406
4, 0.062744, 0.297731, 0.075162, 0.097279, 0.021450, 0.554366
4, 0.097357, 0.288523, 0.072638, 0.096916, 0.021445, 0.576879
4, 0.065055, 0.298044, 0.074567, 0.097962, 0.021439, 0.557067
4, 0.059956, 0.297918, 0.076568, 0.097013, 0.021427, 0.552882
4, 0.083100, 0.279300, 0.074063, 0.101029, 0.022077, 0.559569
4, 0.075889, 0.297713, 0.072342, 0.098401, 0.021443, 0.565788
4, 0.097422, 0.288484, 0.073018, 0.099231, 0.022073, 0.580228
4, 0.067068, 0.297818, 0.075027, 0.098094, 0.021438, 0.559445
4, 0.075910, 0.271381, 0.080512, 0.111863, 0.022072, 0.561738
4, 0.054349, 0.297826, 0.080872, 0.103594, 0.022134, 0.558775
4, 0.056219, 0.297912, 0.077052, 0.098700, 0.021430, 0.551313
4, 0.062311, 0.297822, 0.080229, 0.102418, 0.022080, 0.564860
4, 0.070325, 0.297834, 0.075972, 0.098582, 0.021446, 0.564159
4, 0.061920, 0.298092, 0.083478, 0.107146, 0.022781, 0.573417
4, 0.104940, 0.297390, 0.073861, 0.098928, 0.022101, 0.597220
4, 0.084643, 0.297445, 0.072974, 0.103171, 0.022804, 0.581037
4, 0.082828, 0.371181, 0.070788, 0.097180, 0.021448, 0.643425
4, 0.065094, 0.298692, 0.074642, 0.099743, 0.022084, 0.560255
4, 0.062842, 0.297630, 0.075398, 0.097369, 0.021436, 0.554675
4, 0.077312, 0.297687, 0.074523, 0.097749, 0.021431, 0.568702
4, 0.086076, 0.475923, 0.070072, 0.097470, 0.021427, 0.750968
4, 0.083598, 0.279327, 0.072514, 0.099220, 0.022076, 0.556735
4, 0.057014, 0.288299, 0.081308, 0.102249, 0.022214, 0.551084
4, 0.066724, 0.293035, 0.080988, 0.104486, 0.022069, 0.567302
4, 0.100421, 0.279813, 0.073258, 0.100985, 0.022075, 0.576552
4, 0.079597, 0.297767, 0.073963, 0.097170, 0.021433, 0.569930
4, 0.072878, 0.297622, 0.074057, 0.098514, 0.021423, 0.564494
4, 0.082604, 0.297390, 0.075597, 0.099647, 0.022079, 0.577317
4, 0.138255, 0.292933, 0.072568, 0.097624, 0.021483, 0.622863
4, 0.096664, 0.287961, 0.074863, 0.100852, 0.022078, 0.582418
4, 0.066294, 0.297464, 0.076065, 0.099612, 0.022080, 0.561515
4, 0.120977, 0.279471, 0.073554, 0.097369, 0.021426, 0.592797
4, 0.090614, 0.286485, 0.074126, 0.100829, 0.022076, 0.574130
4, 0.054836, 0.297683, 0.082586, 0.102530, 0.022056, 0.559691
4, 0.068921, 0.297865, 0.075942, 0.099362, 0.022076, 0.564166
4, 0.064311, 0.351269, 0.074543, 0.099655, 0.022094, 0.611872
4, 0.082908, 0.297528, 0.073835, 0.101944, 0.022110, 0.578325
4, 0.115647, 0.297374, 0.074045, 0.099974, 0.022075, 0.609115
4, 0.063079, 0.297673, 0.078221, 0.099268, 0.022105, 0.560346
4, 0.086921, 0.297713, 0.074576, 0.103512, 0.022745, 0.585467
4, 0.067384, 0.297654, 0.075943, 0.099300, 0.022130, 0.562411
4, 0.066646, 0.345595, 0.072457, 0.099253, 0.022127, 0.606078
4, 0.052691, 0.297482, 0.077352, 0.102210, 0.022777, 0.552512
4, 0.062572, 0.297851, 0.083071, 0.102028, 0.022784, 0.568306
4, 0.065446, 0.297424, 0.075446, 0.100644, 0.022133, 0.561093
4, 0.051063, 0.305709, 0.079433, 0.110091, 0.022791, 0.569087
4, 0.054370, 0.303942, 0.082830, 0.106709, 0.022751, 0.570602
4, 0.047868, 0.303723, 0.079785, 0.115639, 0.022757, 0.569772
4, 0.074465, 0.306802, 0.074231, 0.105816, 0.022777, 0.584091
4, 0.067981, 0.406926, 0.071047, 0.099206, 0.022103, 0.667263
4, 0.070131, 0.313667, 0.073371, 0.100447, 0.022087, 0.579703
4, 0.066356, 0.297707, 0.075254, 0.099520, 0.022096, 0.560933
4, 0.057703, 0.297494, 0.076901, 0.100858, 0.022253, 0.555209
4, 0.052933, 0.297589, 0.077146, 0.100998, 0.022207, 0.550873
4, 0.059940, 0.295023, 0.077841, 0.100698, 0.022143, 0.555645
4, 0.074308, 0.297660, 0.071966, 0.103489, 0.023048, 0.570471
4, 0.065272, 0.297801, 0.076315, 0.101180, 0.022094, 0.562662
4, 0.083624, 0.298099, 0.073184, 0.101515, 0.022099, 0.578521
4, 0.063525, 0.297476, 0.075428, 0.100870, 0.022097, 0.559396
4, 0.094286, 0.284789, 0.076108, 0.104032, 0.022803, 0.582018
4, 0.088349, 0.293563, 0.075972, 0.234126, 0.022081, 0.714091
4, 0.106647, 0.279199, 0.076594, 0.104128, 0.022788, 0.589356
4, 0.084667, 0.288031, 0.074953, 0.099764, 0.022091, 0.569506
4, 0.055218, 0.297782, 0.075414, 0.101042, 0.022089, 0.551545
4, 0.109120, 0.331118, 0.073272, 0.099911, 0.022093, 0.635514
4, 0.063336, 0.303902, 0.081497, 0.115059, 0.022769, 0.586563
4, 0.069887, 0.297638, 0.073969, 0.101631, 0.022795, 0.565920
4, 0.061099, 0.317110, 0.078703, 0.111953, 0.022760, 0.591625
4, 0.057933, 0.320660, 0.076540, 0.103539, 0.022119, 0.580791
4, 0.069306, 0.297458, 0.075851, 0.100517, 0.022094, 0.565226
4, 0.076407, 0.314486, 0.075455, 0.105979, 0.022153, 0.594480
4, 0.063680, 0.299216, 0.075021, 0.100659, 0.022129, 0.560705
4, 0.144859, 0.287278, 0.071241, 0.099208, 0.022138, 0.624724
4, 0.081758, 0.297413, 0.073876, 0.100393, 0.022166, 0.575606
4, 0.046960, 0.303800, 0.078246, 0.116457, 0.022795, 0.568258
4, 0.071416, 0.318224, 0.074801, 0.100816, 0.022084, 0.587341
4, 0.060556, 0.297863, 0.080246, 0.107497, 0.022097, 0.568259
4, 0.086809, 0.297738, 0.073598, 0.097795, 0.021453, 0.577393
4, 0.061855, 0.298089, 0.074656, 0.097851, 0.021464, 0.553915
4, 0.055374, 0.289176, 0.079872, 0.104141, 0.022480, 0.551043
4, 0.064870, 0.298237, 0.079616, 0.101693, 0.022063, 0.566479
4, 0.059019, 0.298504, 0.075433, 0.097385, 0.021421, 0.551762
4, 0.103313, 0.288313, 0.071793, 0.096785, 0.021432, 0.581636
4, 0.072731, 0.298162, 0.074097, 0.098020, 0.021438, 0.564448
4, 0.060111, 0.297943, 0.076436, 0.105169, 0.021455, 0.561114
4, 0.057270, 0.297741, 0.075949, 0.226269, 0.021421, 0.678650
4, 0.065759, 0.297705, 0.075823, 0.100153, 0.022144, 0.561584
4, 0.065851, 0.279515, 0.080127, 0.103403, 0.022067, 0.550963
4, 0.079066, 0.288462, 0.074534, 0.099699, 0.021448, 0.563209
4, 0.073679, 0.295872, 0.079592, 0.103013, 0.022157, 0.574313
4, 0.072799, 0.361011, 0.069907, 0.096989, 0.021477, 0.622183
4, 0.055261, 0.307115, 0.080194, 0.109345, 0.022064, 0.573979
4, 0.067071, 0.297642, 0.074364, 0.100854, 0.022069, 0.562000
4, 0.063134, 0.303883, 0.082091, 0.110446, 0.022065, 0.581619
4, 0.084588, 0.297777, 0.074727, 0.098400, 0.021425, 0.576917
4, 0.055910, 0.297610, 0.080167, 0.100734, 0.022065, 0.556486
4, 0.077563, 0.297537, 0.075374, 0.101621, 0.022106, 0.574201
4, 0.117405, 0.294802, 0.073385, 0.099577, 0.022084, 0.607253
4, 0.063804, 0.297718, 0.076565, 0.102107, 0.022809, 0.563003
4, 0.059217, 0.298282, 0.075280, 0.100670, 0.022114, 0.555563
4, 0.076803, 0.401671, 0.072993, 0.099419, 0.022085, 0.672971
4, 0.068693, 0.374336, 0.070893, 0.098954, 0.022097, 0.634973
4, 0.060517, 0.314941, 0.074780, 0.104538, 0.022503, 0.577279
4, 0.057933, 0.297468, 0.077265, 0.100702, 0.022099, 0.555467
4, 0.087204, 0.298246, 0.072682, 0.100268, 0.022139, 0.580539
4, 0.087212, 0.297398, 0.072800, 0.100441, 0.022081, 0.579932
4, 0.085802, 0.279653, 0.073424, 0.101820, 0.022099, 0.562798
4, 0.055364, 0.297799, 0.076830, 0.098200, 0.021417, 0.549610
4, 0.057634, 0.295551, 0.083359, 0.102169, 0.022076, 0.560789
4, 0.080821, 0.297715, 0.075085, 0.098480, 0.021486, 0.573587
4, 0.219193, 0.407205, 0.071568, 0.097163, 0.021461, 0.816590
4, 0.078241, 0.297464, 0.074980, 0.098542, 0.021420, 0.570647
4, 0.074585, 0.375816, 0.071699, 0.102981, 0.021495, 0.646576
4, 0.062459, 0.301431, 0.082230, 0.103799, 0.022063, 0.571982
4, 0.087962, 0.297714, 0.073731, 0.096891, 0.021441, 0.577739
4, 0.076777, 0.297721, 0.074558, 0.097908, 0.021456, 0.568420
4, 0.090888, 0.295795, 0.074392, 0.098915, 0.021503, 0.581493
4, 0.069870, 0.297956, 0.075208, 0.098310, 0.021428, 0.562772
4, 0.090349, 0.297397, 0.073146, 0.098250, 0.021421, 0.580563
4, 0.054432, 0.297844, 0.080079, 0.103261, 0.022060, 0.557676
4, 0.082605, 0.279933, 0.074179, 0.103745, 0.022193, 0.562655
4, 0.067416, 0.288431, 0.076123, 0.097790, 0.021423, 0.551183
4, 0.086800, 0.305156, 0.084858, 0.107642, 0.022089, 0.606545
4, 0.066292, 0.303506, 0.080539, 0.112954, 0.022066, 0.585357
4, 0.070601, 0.295412, 0.081912, 0.104001, 0.022066, 0.573992
4, 0.095959, 0.297647, 0.073069, 0.096845, 0.021434, 0.584954
4, 0.049194, 0.297934, 0.081920, 0.102377, 0.022049, 0.553474
4, 0.106373, 0.297927, 0.083807, 0.104419, 0.022069, 0.614595
4, 0.077523, 0.297845, 0.075872, 0.099607, 0.022069, 0.572916
4, 0.072514, 0.292318, 0.082089, 0.102366, 0.022069, 0.571356
4, 0.070868, 0.299453, 0.075261, 0.098060, 0.021527, 0.565169
4, 0.088841, 0.271424, 0.078433, 0.100182, 0.022065, 0.560945
4, 0.055648, 0.298029, 0.076938, 0.099491, 0.022096, 0.552202
4, 0.059644, 0.288624, 0.081963, 0.104119, 0.022082, 0.556432
4, 0.066796, 0.293512, 0.075681, 0.097057, 0.021437, 0.554483
4, 0.073704, 0.288204, 0.081641, 0.102115, 0.022106, 0.567770
