dataset,krao,selection,proj_sel,proj_sel_qtt,bang,total
8, 0.422895, 1.645801, 0.209590, 0.407494, 0.065936, 2.751716
8, 0.296712, 0.699636, 0.155132, 0.218666, 0.048532, 1.418678
8, 0.523687, 1.113854, 0.193979, 0.544644, 0.067020, 2.443184
8, 0.506582, 1.370330, 0.209543, 0.407661, 0.066374, 2.560490
8, 0.117394, 0.549364, 0.156772, 0.230105, 0.044649, 1.098284
8, 0.107881, 0.548438, 0.171859, 0.230227, 0.044914, 1.103319
8, 0.102609, 0.549372, 0.165786, 0.230358, 0.044675, 1.092800
8, 1.557970, 0.601633, 0.159730, 0.245786, 0.045614, 2.610733
8, 0.121478, 0.599391, 0.176668, 0.238771, 0.047457, 1.183765
8, 0.104531, 0.584502, 0.157804, 0.243181, 0.048277, 1.138295
8, 0.125407, 0.586007, 0.146657, 0.226611, 0.046412, 1.131094
8, 0.162279, 0.577751, 0.146722, 0.220468, 0.045928, 1.153148
8, 0.127221, 0.573760, 0.146859, 0.215669, 0.045776, 1.109285
8, 0.106241, 0.599485, 0.145954, 0.214687, 0.047220, 1.113587
8, 0.109406, 0.584073, 0.148011, 0.220058, 0.046988, 1.108536
8, 0.103594, 0.583408, 0.145647, 0.214244, 0.045536, 1.092429
8, 0.158137, 0.573810, 0.147136, 0.214317, 0.045540, 1.138940
8, 0.118856, 0.583305, 0.145012, 0.214561, 0.045514, 1.107248
8, 0.126237, 0.574352, 0.142473, 0.208152, 0.044047, 1.095261
8, 0.123070, 0.576132, 0.144493, 0.208814, 0.044199, 1.096708
8, 0.112798, 0.576693, 0.142279, 0.201136, 0.044157, 1.077063
8, 0.116133, 0.566826, 0.136710, 0.192962, 0.042824, 1.055455
8, 0.106163, 0.559378, 0.137452, 0.193999, 0.042842, 1.039834
8, 0.114257, 0.553633, 0.168216, 0.202820, 0.044377, 1.083303
8, 0.107073, 0.575992, 0.159285, 0.215082, 0.044101, 1.101533
8, 0.083128, 0.672022, 0.157352, 0.202884, 0.044094, 1.159480
8, 0.114124, 0.646138, 0.137992, 0.195927, 0.042849, 1.137030
8, 0.096010, 0.569696, 0.171174, 0.212940, 0.045510, 1.095330
8, 0.108064, 0.565293, 0.137088, 0.455501, 0.042851, 1.308797
8, 0.144318, 0.552273, 0.139109, 0.196493, 0.042845, 1.075038
8, 0.098486, 0.567922, 0.165813, 0.203457, 0.044132, 1.079810
8, 0.153575, 0.561292, 0.138020, 0.197114, 0.042935, 1.092936
8, 0.079154, 0.580234, 0.161897, 0.225989, 0.044089, 1.091363
8, 0.170749, 0.543956, 0.170232, 0.202742, 0.044081, 1.131760
8, 0.107268, 0.569621, 0.177385, 0.214674, 0.045505, 1.114453
8, 0.091477, 0.581138, 0.141907, 0.207503, 0.044181, 1.066206
8, 0.173557, 0.568683, 0.140212, 0.201305, 0.044282, 1.128039
8, 0.100806, 0.589026, 0.140400, 0.209414, 0.044162, 1.083808
8, 0.094576, 0.586507, 0.142253, 0.209448, 0.044172, 1.076956
8, 0.122144, 0.573973, 0.140465, 0.199616, 0.044132, 1.080330
8, 0.114194, 0.576175, 0.141906, 0.198175, 0.044194, 1.074644
8, 0.113459, 0.570872, 0.141669, 0.199627, 0.044166, 1.069793
8, 0.101946, 0.667263, 0.141562, 0.198536, 0.044313, 1.153620
8, 0.096195, 0.578374, 0.143473, 0.202152, 0.044164, 1.064358
8, 0.107751, 0.574323, 0.140259, 0.197878, 0.044259, 1.064470
8, 0.104988, 0.569239, 0.139439, 0.198388, 0.044186, 1.056240
8, 0.110444, 0.628384, 0.137333, 0.197612, 0.044195, 1.117968
8, 0.101394, 0.574236, 0.141403, 0.200633, 0.044187, 1.061853
8, 0.100639, 0.576492, 0.139853, 0.198032, 0.044375, 1.059391
