dataset,krao,selection,proj_sel,proj_sel_qtt,bang,total
16, 0.186868, 1.198543, 0.521472, 0.514725, 0.088723, 2.510331
16, 0.192192, 1.086143, 0.321054, 0.458263, 0.089304, 2.146956
16, 0.201734, 1.040143, 0.279044, 0.423553, 0.086653, 2.031127
16, 0.177350, 1.091542, 0.333353, 0.452065, 0.086604, 2.140914
16, 2.944039, 1.142845, 0.314554, 2.910487, 0.115018, 7.426943
16, 0.216177, 1.115063, 0.292525, 0.424475, 0.087978, 2.136218
16, 0.243272, 1.082586, 0.267903, 0.381811, 0.085943, 2.061515
16, 0.201089, 1.096210, 0.335137, 0.402758, 0.088127, 2.123321
16, 0.206691, 1.068821, 0.272753, 0.383225, 0.085758, 2.017248
16, 0.207703, 1.099549, 0.275538, 0.385045, 0.085663, 2.053498
16, 0.164740, 1.078765, 0.266774, 0.384121, 0.085655, 1.980055
16, 0.185142, 1.102045, 0.271061, 0.388076, 0.088223, 2.034547
16, 0.240422, 1.094592, 0.270353, 0.385294, 0.085707, 2.076368
16, 0.234486, 1.073916, 0.283473, 0.385314, 0.085634, 2.062823
16, 0.171299, 1.083991, 0.275505, 0.384556, 0.085734, 2.001085
16, 0.176221, 1.181785, 0.306922, 0.394303, 0.085643, 2.144874
16, 0.174068, 1.083982, 0.277683, 0.386109, 0.085728, 2.007570
16, 0.137661, 1.083770, 0.272539, 0.382962, 0.086097, 1.963029
16, 0.149893, 1.081227, 0.274035, 0.382888, 0.085850, 1.973893
16, 0.239072, 1.093267, 0.269372, 0.382777, 0.085664, 2.070152
16, 0.190093, 1.077185, 0.274181, 0.383740, 0.085745, 2.010944
16, 0.241890, 1.077026, 0.275932, 0.383269, 0.085679, 2.063796
16, 0.206261, 1.100091, 0.273999, 0.389996, 0.085833, 2.056180
16, 0.377313, 1.066134, 0.266497, 0.382555, 0.085622, 2.178121
16, 0.153353, 1.082153, 0.279445, 0.381654, 0.085695, 1.982300
16, 0.170062, 1.111947, 0.317491, 0.402038, 0.088155, 2.089693
